,job_type,cloud_provider,cluster_name,lat,lon,source_zone_id,target_zone_id,load_balance,cost_mix,gb_price,latency
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.0,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.01,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.1,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.2,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.3,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.4,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.5,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.6,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.7,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.8,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.9,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=0.99,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,KOSS,beta=1.0,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,RR,beta=0.0,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,RR,beta=0.01,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,RR,beta=0.1,0.01,0.0
0,details,aws,aws-ap-southeast-1,1.3521,103.8198,aws-ap-southeast-1-1,aws-ap-southeast-1-1,RR,beta=0.2,0.01,0.0
